"Variable","Coefficient"
"ma1",0.368673747631941
"sar1",0.268543032824393
"intercept",-29.1913438433641
"PM25",0.634472772227971
"PM10",0.201830651030331
"SO2",-0.744503541224474
"CO",7.41281356012587
"NO2",0.196918545513057
"O3",0.402577395483687
"Temperature",0.0960733919160983
"Humidity",0.261201158517661
